Date,Price,Open,High,Low,Vol.,Change %
"Sep 22, 2014",1374.2,1214.9,1214.9,1212.4,0.01K,0.08%
"Sep 19, 2014",1373.1,1218.3,1218.3,1218.3,0.00K,-0.74%
"Sep 18, 2014",1383.4,1216.2,1220.4,1216.2,0.01K,-0.62%
"Sep 17, 2014",1392,1236.2,1236.2,1221.9,0.01K,-0.07%
"Sep 16, 2014",1393,1238.3,1238.3,1235.9,0.00K,0.12%
"Sep 15, 2014",1391.3,1226.7,1235,1226.7,0.02K,0.25%
"Sep 12, 2014",1387.8,1227,1227,1227,0.05K,-0.54%
"Sep 11, 2014",1395.4,1237.4,1237.4,1237.4,-,-0.47%
"Sep 10, 2014",1402,1256.7,1256.7,1243.5,0.10K,-0.19%
"Sep 09, 2014",1404.6,1246.8,1246.8,1246.8,-,-0.4%
"Sep 08, 2014",1410.2,1268.4,1268.4,1262.2,0.00K,-0.91%
"Sep 05, 2014",1423.2,1263.2,1268.1,1263.2,0.12K,0.06%
"Sep 04, 2014",1422.3,1268.7,1272.7,1260.3,0.29K,-0.22%
"Sep 03, 2014",1425.5,1266.3,1271.1,1263.1,0.28K,0.46%
"Sep 02, 2014",1419,1284.5,1286.4,1262.5,0.28K,10.22%
"Sep 01, 2014",1287.4,1287.6,1290.9,1285.9,-,-0.02%
"Aug 31, 2014",1287.7,1288.5,1289,1286.8,-,-10.61%
"Aug 29, 2014",1440.6,1289.5,1289.7,1284.8,0.12K,-0.22%
"Aug 28, 2014",1443.8,1284.5,1293.7,1284.3,0.82K,0.48%
"Aug 27, 2014",1436.9,1281.5,1282.3,1281.5,0.04K,-0.17%
"Aug 26, 2014",1439.3,1289.4,1289.5,1281.1,0.07K,0.43%
"Aug 25, 2014",1433.1,1424.9,1424.9,1424.9,0.00K,-0.07%
"Aug 22, 2014",1434.1,1276,1280,1275,0.12K,0.34%
"Aug 21, 2014",1429.2,1290,1290,1272,0.26K,-1.37%
"Aug 20, 2014",1449,1295.4,1295.8,1288.4,0.33K,0%
"Aug 19, 2014",1449,1298.8,1301.7,1294,0.14K,-0.26%
"Aug 18, 2014",1452.8,1301.4,1302.1,1295.7,0.10K,-0.45%
"Aug 15, 2014",1459.4,1311.7,1312.8,1292,0.20K,-0.66%
"Aug 14, 2014",1469.1,1311.8,1316.4,1309.7,0.32K,0.08%
"Aug 13, 2014",1467.9,1308.8,1312.6,1305,0.24K,0.18%
"Aug 12, 2014",1465.3,1306.2,1315.8,1305.8,0.44K,-0.01%
"Aug 11, 2014",1465.5,1308.4,1309.7,1305.3,0.19K,-0.03%
"Aug 08, 2014",1465.9,1310.8,1322.1,1308,0.59K,-0.1%
"Aug 07, 2014",1467.3,1305.3,1313.2,1302.5,0.23K,0.31%
"Aug 06, 2014",1462.7,1288.1,1309,1287.8,0.71K,1.65%
"Aug 05, 2014",1439,1288,1292.7,1282.6,0.83K,-0.2%
"Aug 04, 2014",1441.9,1294.4,1295,1285.9,0.92K,-0.63%
